FILE,x1,y1,x2,y2,SPECIES
DPP_00370.JPG,1421,934,1470,997,Zebra
DPP_00370.JPG,1461,954,1502,988,Zebra
DPP_00370.JPG,1515,1055,1551,1116,Zebra
DPP_00370.JPG,1591,966,1643,1014,Zebra
DPP_00370.JPG,1642,1040,1688,1073,Zebra
DPP_00370.JPG,1698,1014,1747,1057,Zebra
DPP_00370.JPG,1817,1023,1885,1073,Zebra
DPP_00370.JPG,2090,1107,2158,1152,Zebra
DPP_00370.JPG,2324,1154,2397,1208,Zebra
DPP_00372.JPG,1621,2186,1663,2269,Zebra
DPP_00372.JPG,1488,2333,1534,2399,Zebra
DPP_00372.JPG,1481,2369,1510,2421,Zebra
DPP_00372.JPG,1620,2454,1684,2515,Zebra
DPP_00381.JPG,1554,874,1599,910,Zebra
DPP_00381.JPG,1637,899,1677,939,Zebra
DPP_00381.JPG,1692,899,1723,954,Zebra
DPP_00381.JPG,1939,934,1976,992,Zebra
DPP_00382.JPG,715,871,754,930,Elephant
DPP_00382.JPG,885,835,939,883,Elephant
DPP_00382.JPG,1010,815,1044,877,Elephant
DPP_00382.JPG,1021,791,1063,839,Elephant
DPP_00382.JPG,1069,793,1093,839,Elephant
DPP_00382.JPG,1080,744,1135,800,Elephant
DPP_00382.JPG,1217,798,1246,860,Elephant
DPP_00383.JPG,1085,2175,1161,2278,Elephant
DPP_00383.JPG,1701,2127,1788,2197,Elephant
DPP_00383.JPG,1868,2076,1973,2169,Elephant
DPP_00391.JPG,1181,1440,1264,1539,Elephant
DPP_00391.JPG,1049,1449,1109,1559,Elephant
DPP_00391.JPG,440,923,499,993,Elephant
DPP_00392.JPG,3509,260,3617,337,Elephant
DPP_00392.JPG,2983,201,3047,289,Elephant
DPP_00392.JPG,3373,590,3494,684,Elephant
DPP_00396.JPG,314,2557,386,2616,Zebra
DPP_00396.JPG,520,2404,554,2475,Zebra
DPP_00398.JPG,1406,1323,1506,1437,Elephant
DPP_00398.JPG,644,677,798,776,Elephant
DPP_00398.JPG,1271,334,1351,438,Elephant
DPP_00398.JPG,978,173,1075,259,Elephant
DPP_00401.JPG,2458,2618,2532,2758,Elephant
DPP_00401.JPG,1940,2631,2029,2761,Elephant
DPP_00401.JPG,1444,362,1484,446,Elephant
DPP_00402.JPG,496,1713,540,1821,Elephant
DPP_00402.JPG,1157,1173,1190,1239,Elephant
DPP_00402.JPG,1047,1105,1080,1177,Elephant
DPP_00402.JPG,1210,1075,1251,1151,Elephant
DPP_00402.JPG,1158,1015,1193,1070,Elephant
DPP_00402.JPG,1179,966,1238,1039,Elephant
DPP_00403.JPG,1410,1596,1516,1674,Elephant
DPP_00403.JPG,1651,1673,1712,1790,Elephant
DPP_00403.JPG,1542,1730,1593,1818,Elephant
DPP_00403.JPG,1472,1710,1520,1822,Elephant
DPP_00405.JPG,3271,1418,3307,1506,Zebra
DPP_00405.JPG,2049,873,2119,935,Zebra
DPP_00405.JPG,4124,1593,4200,1678,Zebra
DPP_00405.JPG,2895,1943,2926,2033,Zebra
DPP_00405.JPG,589,2265,657,2333,Zebra
DPP_00417.JPG,1821,1261,1885,1348,Elephant
DPP_00417.JPG,2177,940,2232,1026,Elephant
DPP_00417.JPG,2900,852,2933,910,Elephant
DPP_00417.JPG,2893,775,2978,840,Elephant
DPP_00417.JPG,2748,788,2807,845,Elephant
DPP_00417.JPG,2736,718,2768,792,Elephant
DPP_00417.JPG,2757,720,2795,750,Elephant
DPP_00417.JPG,2688,738,2712,770,Elephant
DPP_00417.JPG,2662,689,2691,744,Elephant
DPP_00417.JPG,2608,682,2631,722,Elephant
